SIGNIFICANT_POINT_ID,CODE_FIR,CODE_IN_AIRWAY,CODE_ID,CODE_CHANNEL,TXT_NAME,CODE_TYPE,GEO_LAT_ACCURACY,GEO_LONG_ACCURACY,VAL_FREQ,UOM_FREQ,VAL_MAG_VAR,VAL_ELEV,UOM_DIST_VER,TXT_RMK,IS_REP_ATC,IS_PBN,PURPOSE,ROUTE_RESTRICT,IS_TRANS_POINT,IS_BORDER_POINT,SERVICED_AIRPORT,IS_MODIFIED,
43bff668-686c-4423-8f15-a7a112d40de2,沈阳情报区,Y,ZLT,CH74X,扎兰屯,VOR/DME,N475334,E1224635,112.7,MHz,-11.17,299,M,,Y,N,AE,N,N,N,ZBZL,N,
d2af56a7-8a20-4313-87cf-1b148e8d0572,昆明情报区,Y,WFX,CH118X,五凤溪,VOR/DME,N303619,E1042926,117.1,MHz,-1.97,,,,Y,N,AE,N,N,N,ZUUU/ZUTF,N,
3aec534d-5e8b-4efd-bfde-879923677322,乌鲁木齐情报区,Y,NLT,CH102X,那拉提,VOR/DME,N432600,E0832246,115.5,MHz,3.77,935,M,135°径向线顺时针方向至205°径向线之间不可用。,N,N,AE,N,N,N,ZWNL,N,
09b0775e-1316-4fd2-9d81-37470cc2cd90,广州情报区,Y,BSE,CH106X,百色,VOR/DME,N235529,E1063610,115.9,MHz,-1.84,380,M,,Y,N,AE,N,N,N,ZGBS,N,
74603d09-9e3b-4b8a-b6b5-b568d0199ffc,昆明情报区,Y,BHS,CH126X,柏鹤寺,VOR/DME,N303037,E1041205,117.9,MHz,-1.89,,,VOR：219°径向线进场程序距台20NM以外不可用。,Y,N,AE,N,N,N,ZUTF/ZUUU,N,
a20732a7-3804-406f-b0c3-e88e9af57c7e,沈阳情报区,Y,SEY,CH88X,沈阳,VOR/DME,N413825,E1232848,114.1,MHz,-9.09,59,M,,Y,N,AE,N,N,N,ZYTX,N,
c0528c50-cf47-49b1-8db4-39d951e768ea,武汉情报区,Y,DXM,CH123X,信阳,VOR/DME,N323146,E1140305,117.6,MHz,-5.4,101,M,,Y,N,AE,N,N,N,ZHXY,N,
203ca438-fcfa-4ba0-a48f-87578a6f4a16,沈阳情报区,Y,HLD,CH98X,海拉尔,VOR/DME,N491215,E1194922,115.1,MHz,-10.25,667,M,,Y,N,AE,N,N,N,ZBLA,N,
eb99e7d5-8cde-46be-a1aa-32f6a6a0c9ee,北京情报区,Y,LUX,CH118X,滦县,VOR/DME,N394426,E1184340,117.1,MHz,-7.54,,,VOR：273°径向线离场程序距台21NM以外、275°径向线离场程序距台29NM以外不可用。,Y,N,E,N,N,N,,N,
38c7a454-7028-49a4-a9c8-f618ae96e203,兰州情报区,Y,JTA,CH96X,景泰,VOR/DME,N371144,E1040441,114.9,MHz,-2.47,,,VOR：232°径向线距台30NM以外、279°径向线距台65NM以外不可用；DME：232°径向线距台25NM以外、279°径向线距台50NM以外不可用。,Y,N,E,N,N,N,,N,
